  TT  PID   AT IO_D   WT   RT  TRT
5634 2243 5569    0   10   10   65 
5637 2258 5605    0    0    0   32 
5640  388 1004    6 4548   20 4636 
5653 2250 5578    0   13   13   75 
5671 2196 5466    0  127  127  205 
5674  835 2076   10 3568    9 3598 
5677  358  932    0 4694  110 4745 
5680 2261 5613    0   16   16   67 
5692 2264 5619    0   18   18   73 
5702 2295 5688    0    0    0   14 
5703 2254 5590    0   50   50  113 
5718 2274 5640    0   25   25   78 
5725  894 2208    3 3487    0 3517 
5729  807 2006    8 3691  104 3723 
5741 2284 5656    0   18   18   85 
5749 2278 5649    0   33   33  100 
5769 2310 5730    0   13   13   39 
